2026-08-03 11:29:26,188 - DataFetcher - INFO - Fetching yfinance data for: ['^GSPC', '^IXIC', '^HSI', '^FTSE', '^N225', 'EURUSD=X', 'JPY=X', 'GBPUSD=X', 'CNH=X', 'GC=F']
2026-08-03 11:40:54,710 - DataFetcher - INFO - Fetching yfinance data for: ['^GSPC', '^IXIC', '^HSI', '^FTSE', '^N225', 'EURUSD=X', 'JPY=X', 'GBPUSD=X', 'CNH=X', 'GC=F']
2026-08-03 11:46:49,630 - DataFetcher - INFO - Fetching yfinance data for: ['^GSPC', '^IXIC', '^HSI', '^FTSE', '^N225', 'EURUSD=X', 'JPY=X', 'GBPUSD=X', 'CNH=X', 'GC=F']
2026-08-03 11:52:49,629 - DataFetcher - INFO - Fetching yfinance data for: ['^GSPC', '^IXIC', '^HSI', '^FTSE', '^N225', 'EURUSD=X', 'JPY=X', 'GBPUSD=X', 'CNH=X', 'GC=F']
2026-08-03 16:00:03,039 - DataFetcher - INFO - Fetching yfinance data for: ['^GSPC', '^IXIC', '^HSI', '^FTSE', '^N225', 'EURUSD=X', 'JPY=X', 'GBPUSD=X', 'CNH=X', 'GC=F']
2026-08-03 16:10:05,893 - DataFetcher - INFO - Fetching yfinance data for: ['^GSPC', '^IXIC', '^HSI', '^FTSE', '^N225', 'EURUSD=X', 'JPY=X', 'GBPUSD=X', 'CNH=X', 'GC=F']
2026-08-03 16:10:33,397 - DataFetcher - INFO - Fetching yfinance data for: ['^GSPC', '^IXIC', '^HSI', '^FTSE', '^N225', 'EURUSD=X', 'JPY=X', 'GBPUSD=X', 'CNH=X', 'GC=F']
2026-08-03 16:15:18,851 - DataFetcher - INFO - Fetching yfinance data for: ['^GSPC', '^IXIC', '^HSI', '^FTSE', '^N225', 'EURUSD=X', 'JPY=X', 'GBPUSD=X', 'CNH=X', 'GC=F']
2026-08-03 16:24:18,901 - DataFetcher - INFO - Fetching yfinance data for: ['^GSPC', '^IXIC', '^HSI', '^FTSE', '^N225', 'EURUSD=X', 'JPY=X', 'GBPUSD=X', 'CNH=X', 'GC=F']
2026-08-03 16:26:49,087 - DataFetcher - INFO - Fetching yfinance data for: ['^GSPC', '^IXIC', '^HSI', '^FTSE', '^N225', 'EURUSD=X', 'JPY=X', 'GBPUSD=X', 'CNH=X', 'GC=F']
2026-08-03 16:27:07,184 - DataFetcher - INFO - Fetching yfinance data for: ['^GSPC', '^IXIC', '^HSI', '^FTSE', '^N225', 'EURUSD=X', 'JPY=X', 'GBPUSD=X', 'CNH=X', 'GC=F']
2026-08-03 16:29:32,054 - DataFetcher - INFO - Fetching yfinance data for: ['^GSPC', '^IXIC', '^HSI', '^FTSE', '^N225', 'EURUSD=X', 'JPY=X', 'GBPUSD=X', 'CNH=X', 'GC=F']
2026-08-03 16:43:48,216 - DataFetcher - INFO - Fetching yfinance data for: ['^GSPC', '^IXIC', '^HSI', '^FTSE', '^N225', 'EURUSD=X', 'JPY=X', 'GBPUSD=X', 'CNH=X', 'GC=F']
2026-08-03 16:52:09,053 - DataFetcher - INFO - Fetching yfinance data for: ['^GSPC', '^IXIC', '^HSI', '^FTSE', '^N225', 'EURUSD=X', 'JPY=X', 'GBPUSD=X', 'CNH=X', 'GC=F']
2026-08-03 16:52:54,619 - DataFetcher - INFO - Fetching yfinance data for: ['^GSPC', '^IXIC', '^HSI', '^FTSE', '^N225', 'EURUSD=X', 'JPY=X', 'GBPUSD=X', 'CNH=X', 'GC=F']
2026-08-03 16:53:21,030 - DataFetcher - INFO - Fetching yfinance data for: ['^GSPC', '^IXIC', '^HSI', '^FTSE', '^N225', 'EURUSD=X', 'JPY=X', 'GBPUSD=X', 'CNH=X', 'GC=F']
